time_s,mf4_time_s,front_brake_pressure_psi,rear_brake_pressure_linear_psi,rear_brake_pressure_hold_psi
0.0,465.816454,0.0,0.0,0.0
0.009999999999990905,465.826454,0.0,0.0,0.0
0.01999999999998181,465.836454,0.0,0.0,0.0
0.029999999999972715,465.846454,0.0,0.0,0.0
0.03999999999996362,465.856454,0.0,0.0,0.0
0.049999999999954525,465.866454,0.0,0.0,0.0
0.05999999999994543,465.87645399999997,0.0,0.0,0.0
0.06999999999993634,465.88645399999996,0.0,0.0,0.0
0.07999999999992724,465.89645399999995,0.0,0.0,0.0
0.08999999999991815,465.90645399999994,0.0,0.0,0.0
0.09999999999990905,465.91645399999993,0.0,0.0,0.0
0.10999999999989996,465.9264539999999,0.0,0.0,0.0
0.11999999999989086,465.9364539999999,0.0,0.0,0.0
0.12999999999988177,465.9464539999999,0.0,0.0,0.0
0.13999999999987267,465.9564539999999,0.0,0.0,0.0
0.14999999999986358,465.9664539999999,0.0,0.0,0.0
0.15999999999985448,465.9764539999999,0.0,0.0,0.0
0.16999999999984539,465.98645399999987,0.0,0.0,0.0
0.1799999999998363,465.99645399999986,0.0,0.0,0.0
0.1899999999998272,466.00645399999985,0.0,0.0,0.0
0.1999999999998181,466.01645399999984,0.0,0.0,0.0
0.209999999999809,466.02645399999983,0.0,0.0,0.0
0.2199999999997999,466.0364539999998,0.0,0.0,0.0
0.22999999999979082,466.0464539999998,0.0,0.0,0.0
0.23999999999978172,466.0564539999998,0.0,0.0,0.0
0.24999999999977263,466.0664539999998,0.0,0.0,0.0
0.25999999999976353,466.0764539999998,0.0,0.0,0.0
0.26999999999975444,466.0864539999998,0.0,0.0,0.0
0.27999999999974534,466.09645399999977,0.0,0.0,0.0
0.28999999999973625,466.10645399999976,0.0,0.0,0.0
0.29999999999972715,466.11645399999975,0.0,0.0,0.0
0.30999999999971806,466.12645399999974,0.0,0.0,0.0
0.31999999999970896,466.13645399999973,0.0,0.0,0.0
0.32999999999969987,466.1464539999997,0.0,0.0,0.0
0.33999999999969077,466.1564539999997,0.0,0.0,0.0
0.3499999999996817,466.1664539999997,0.0,0.0,0.0
0.3599999999996726,466.1764539999997,0.0,0.0,0.0
0.3699999999996635,466.1864539999997,0.0,0.0,0.0
0.3799999999996544,466.1964539999997,0.0,0.0,0.0
0.3899999999996453,466.20645399999967,0.0,0.0,0.0
0.3999999999996362,466.21645399999966,0.0,0.0,0.0
0.4099999999996271,466.22645399999965,0.0,0.0,0.0
0.419999999999618,466.23645399999964,0.0,0.0,0.0
0.4299999999996089,466.24645399999963,0.0,0.0,0.0
0.4399999999995998,466.2564539999996,0.0,0.0,0.0
0.4499999999995907,466.2664539999996,0.0,0.0,0.0
0.45999999999958163,466.2764539999996,0.0,0.0,0.0
0.46999999999957254,466.2864539999996,0.0,0.0,0.0
0.47999999999956344,466.2964539999996,0.0,0.0,0.0
0.48999999999955435,466.3064539999996,0.0,0.0,0.0
0.49999999999954525,466.31645399999957,0.0,0.0,0.0
0.5099999999995362,466.32645399999956,0.0,0.0,0.0
0.5199999999995271,466.33645399999955,0.0,0.0,0.0
0.529999999999518,466.34645399999954,0.0,0.0,0.0
0.5399999999995089,466.35645399999953,0.0,0.0,0.0
0.5499999999994998,466.3664539999995,0.0,0.0,0.0
0.5599999999994907,466.3764539999995,0.0,0.0,0.0
0.5699999999994816,466.3864539999995,0.0,0.0,0.0
0.5799999999994725,466.3964539999995,0.0,0.0,0.0
0.5899999999994634,466.4064539999995,0.0,0.0,0.0
0.5999999999994543,466.4164539999995,0.0,0.0,0.0
0.6099999999994452,466.42645399999947,0.0,0.0,0.0
0.6199999999994361,466.43645399999946,0.0,0.0,0.0
0.629999999999427,466.44645399999945,0.0,0.0,0.0
0.6399999999994179,466.45645399999944,0.0,0.0,0.0
0.6499999999994088,466.46645399999943,0.0,0.0,0.0
0.6599999999993997,466.4764539999994,0.0,0.0,0.0
0.6699999999993906,466.4864539999994,0.0,0.0,0.0
0.6799999999993815,466.4964539999994,0.0,0.0,0.0
0.6899999999993724,466.5064539999994,0.0,0.0,0.0
0.6999999999993634,466.5164539999994,0.0,0.0,0.0
0.7099999999993543,466.5264539999994,0.0,0.0,0.0
0.7199999999993452,466.53645399999937,0.0,0.0,0.0
0.7299999999993361,466.54645399999936,0.0,0.0,0.0
0.739999999999327,466.55645399999935,0.0,0.0,0.0
0.7499999999993179,466.56645399999934,0.0,0.0,0.0
0.7599999999993088,466.57645399999933,0.0,0.0,0.0
0.7699999999992997,466.5864539999993,0.0,0.0,0.0
0.7799999999992906,466.5964539999993,0.0,0.0,0.0
0.7899999999992815,466.6064539999993,0.0,0.0,0.0
0.7999999999992724,466.6164539999993,0.0,0.0,0.0
0.8099999999992633,466.6264539999993,0.0,0.0,0.0
0.8199999999992542,466.6364539999993,0.0,0.0,0.0
0.8299999999992451,466.64645399999927,0.0,0.0,0.0
0.839999999999236,466.65645399999926,0.0,0.0,0.0
0.8499999999992269,466.66645399999925,0.0,0.0,0.0
0.8599999999992178,466.67645399999924,0.0,0.0,0.0
0.8699999999992087,466.68645399999923,0.0,0.0,0.0
0.8799999999991996,466.6964539999992,0.0,0.0,0.0
0.8899999999991905,466.7064539999992,0.0,0.0,0.0
0.8999999999991815,466.7164539999992,0.0,0.0,0.0
0.9099999999991724,466.7264539999992,0.0,0.0,0.0
0.9199999999991633,466.7364539999992,0.0,0.0,0.0
0.9299999999991542,466.7464539999992,0.0,0.0,0.0
0.9399999999991451,466.75645399999917,0.0,0.0,0.0
0.949999999999136,466.76645399999916,0.0,0.0,0.0
0.9599999999991269,466.77645399999915,0.0,0.0,0.0
0.9699999999991178,466.78645399999914,0.0,0.0,0.0
0.9799999999991087,466.79645399999913,0.0,0.0,0.0
0.9899999999990996,466.8064539999991,0.0,0.0,0.0
0.9999999999990905,466.8164539999991,0.0,0.0,0.0
1.0099999999990814,466.8264539999991,0.0,0.0,0.0
1.0199999999990723,466.8364539999991,0.0,0.0,0.0
1.0299999999990632,466.8464539999991,0.0,0.0,0.0
1.0399999999990541,466.8564539999991,0.0,0.0,0.0
1.049999999999045,466.86645399999907,0.0,0.0,0.0
1.059999999999036,466.87645399999906,0.0,0.0,0.0
1.0699999999990268,466.88645399999905,0.0,0.0,0.0
1.0799999999990177,466.89645399999904,0.0,0.0,0.0
1.0899999999990087,466.90645399999903,0.0,0.0,0.0
1.0999999999989996,466.916453999999,0.0,0.0,0.0
1.1099999999989905,466.926453999999,0.0,0.0,0.0
