time_s,mf4_time_s,gps_latitude_deg,gps_longitude_deg,gps_x_m,gps_y_m,gps_x_filtered_m,gps_y_filtered_m,gps_speed_mps,gps_distance_trip_m,accel_x_mps2,accel_y_mps2,accel_z_mps2,angular_rate_x_degps,angular_rate_y_degps,angular_rate_z_degps,motor_rpm,torque_command_nm,torque_feedback_nm,apps_percent,brake_pressure_psi,battery_power_kw,battery_voltage_v,battery_current_a,battery_soc_percent
0.0,465.81645399999996,42.068637999989846,-84.2369110000609,0.0,0.0,-0.01574042978570671,0.013252649248172477,2.015,0.0,6.748466226510894,-1.1261503301168292,7.254601320467317,-3.49156424580992,0.5046013204673164,-10.240030472320814,420.42999999999927,83.0,59.801500000006364,63.400000000000006,0.0,4.718439999999814,444.1289336566057,10.715828118811984,98.15
0.19704999999999018,466.01350399999995,42.0686369999899,-84.2369170000808,-0.49582718108586754,-0.1113199941821108,-0.4840216382202875,-0.11132047712956286,2.758,0.9816812927088598,6.252380651679629,-1.4952386966407414,8.746667087648518,-0.7442864359688897,1.9952386966407414,-6.958100530438524,573.0177049180255,88.9,95.75311475407655,67.2,0.0,6.256163483423743,444.0577436237626,14.206173465346167,98.15
0.39510000000001355,466.211554,42.068635999979804,-84.23692500009089,-1.1569287316508576,-0.2226411178781973,-1.1215132149965408,-0.2623980993888201,3.593,1.9819338179614938,6.88039141414144,-0.25,7.876617424242432,0.7597045454545909,0.7446085858585606,3.998921717171712,717.0317557251974,94.0,96.28415267177319,71.10000000000001,0.0,8.129838495794276,442.74730877227745,18.473853537852136,98.15
0.5931500000000369,466.409604,42.068633999979795,-84.23693400012125,-1.9006695461434624,-0.4452811188980377,-1.928215160114469,-0.4399802175295996,4.4670000000000005,2.982186343214128,8.119863636363364,-0.255707070707374,8.246575757575576,2.982878787877878,-0.5022828282829496,3.7248888888875546,868.9406451612938,94.0,88.64006451612667,71.0,0.0,9.672217894216665,441.0710874740483,22.021557686604325,98.14
0.7911000000000286,466.607554,42.0686319999799,-84.23694600014078,-2.892322233690987,-0.6679211072622593,-2.896257212881534,-0.6679213862885214,5.378,3.9819338179615507,7.0021441124780415,-1.5005360281195104,7.501608084358531,-0.7607205623902086,-0.9785588752195828,-1.796098418277897,1004.0,92.9,93.0041379310241,70.10000000000001,0.0,10.968830860534153,440.4893941613062,25.02318020781827,98.13
0.9900000000000091,466.806454,42.068629999979684,-84.23696000016241,-4.049250274823587,-0.8905611312204087,-4.033510001953516,-0.9170654000164384,6.2330000000000005,4.986479272506898,7.496164592329123,-1.6269177038354385,7.870397510794947,-3.2507670815341756,3.9854254508506677,-12.526080772161963,1134.5927868852455,92.0,89.62655737704759,69.9,0.0,12.256540069341208,440.03079200000013,28.03842435643543,98.12
1.1870499999999993,467.00350399999996,42.068627999989886,-84.23697600018181,-5.371453310189923,-1.1131999956074878,-5.383258810331507,-1.0919959195782432,6.988,6.5703250241227344,6.254568181817953,-2.2586287878783553,6.379060606060403,-3.519287878786912,-0.7439090909093962,-21.060909090906037,1324.1259999999477,92.0,96.57660000000972,69.9,0.0,13.738119148936194,438.547118990599,31.49272716476932,98.11
1.3850500000000352,467.201504,42.068627000010096,-84.23699400021214,-6.858932427238818,-1.2245177457901946,-6.8825423943169834,-1.1768100329548834,7.782,8.172023795547279,7.371446969696897,-4.394795454545862,7.392257575757931,-8.244924242424139,0.7713181818186204,-35.95025757575655,1466.5098360656189,88.9,90.70681967216238,67.10000000000001,0.0,15.341360079051354,437.43831541275335,35.33244705882351,98.09
1.5830500000000143,467.399504,42.06862800001009,-84.23701500021207,-8.59432180143596,-1.1131977468622267,-8.539230920710336,-1.1503037727445085,8.552,9.773722566971369,6.502029790456997,-9.23122443827278,11.616880838172014,-6.980716990658532,5.989851047715017,-23.713463771774062,1539.964000000015,88.0,91.73800000006719,66.4,0.0,15.458164682539648,436.4947255131383,35.69191968269717,98.08
1.7811000000000377,467.597554,42.06862900002019,-84.23703600024243,-10.32971368991812,-1.001876622375164,-10.361194661332473,-0.9753715429038889,9.167,11.375825807782537,6.998477272727241,-4.608249999999655,9.621954545454482,-2.252030303030345,3.452287878786897,-14.722590909090345,1681.1514754098464,88.0,84.97868852461583,66.4,0.0,16.60660283896238,434.6208027299702,38.433930563798626,98.07000000000001
1.9791000000000167,467.795554,42.06863100003014,-84.23706000026137,-12.313017403306818,-0.779235514779657,-12.344498176815105,-0.7209259896027582,10.025,12.977524579206626,6.625,-0.4959567513200076,8.88561352778498,-2.7247296957500478,-8.226751320090044,-7.9565350766900815,1787.004137931024,88.0,92.19586206897598,66.3,0.0,17.752776828669724,433.65499505617987,41.15072148075976,98.05
2.1780500000000416,467.994504,42.06863400001016,-84.23708600027412,-14.461595784459737,-0.44527773905684853,-14.461595755883877,-0.4823839858851408,10.74,15.177763802141701,6.61124397666678,0.5131828556943357,11.48624397666678,3.5080243469443784,-2.47248795333356,2.852023839721381,1925.189333333292,78.9,74.2918666666739,59.800000000000004,0.0,18.088999801979504,433.2470047303317,42.02573834734985,98.04
2.3750499999999874,468.19150399999995,42.0686349999899,-84.2371130002728,-16.69281059230879,-0.333959994410975,-16.700680724661567,-0.328659147205572,11.453,17.365989592305713,3.617383838384119,3.382140151514889,8.502856060605955,5.288080808079406,3.480959595960297,25.03712878787742,1972.9100000000374,0.0,-19.917999999992535,0.1,0.0,2.849026653505441,435.8619809975303,6.651775012351045,98.03
