distance_m,x_m,y_m,curvature_per_m
0.0,0.0,0.0,0.0525591001378668
0.9996552964720213,-0.9892290691125525,0.1434638246981137,0.022487755765924013
1.9993105929440427,-1.9831213517866981,0.2505420606050014,0.008314711935481375
2.998965889416064,-2.9784969056077144,0.3429241656275929,0.008836037940861541
3.9986211858880853,-3.9745980950561686,0.42712649998030466,0.0162720725301981
4.998276482360106,-4.971655625844595,0.49906856637672237,0.023249649953498017
5.997931778832128,-5.969945307705826,0.55108782447144,0.025088372274661628
6.99758707530415,-6.969209777082545,0.578625068652932,0.022009224863120482
7.997242371776171,-7.968850040475493,0.5825305731780323,0.017079580816937858
8.996897668248192,-8.96838065365963,0.5669577647853524,0.013186540866262558
9.996552964720212,-9.967566744617127,0.5363871795009953,0.01102818573899683
10.996208261192235,-10.966315760305731,0.49385262378056477,0.010669839895204212
11.995863557664256,-11.964550978758064,0.4406033268278506,0.011716209908387178
12.995518854136277,-12.962131068031688,0.3762406314527546,0.013638217422189819
13.9951741506083,-13.95881580935879,0.2992563629526276,0.015829905562878395
14.99482944708032,-14.954257030556008,0.20759748364677935,0.017981881216960934
15.994484743552341,-15.948005788421574,0.09913240827192049,0.020700100261151162
16.994140040024362,-16.939481406986513,-0.028434481958913908,0.02546569591486959
17.993795336496383,-17.92776006288152,-0.17874591744152574,0.03403212411924525
18.993450632968404,-18.911140628338526,-0.3582724547840232,0.04535758866972251
19.993105929440425,-19.886627282704627,-0.5765887097241872,0.05688304581300027
20.99276122591245,-20.849663531993865,-0.8444611173131906,0.065936006250913
21.99241652238447,-21.794392746271814,-1.171020002615551,0.07126042382803136
22.99207181885649,-22.714426010697057,-1.5617546144856398,0.07294913522676674
23.991727115328512,-23.603838372057506,-2.0179072525052875,0.07113553411308345
24.991382411800533,-24.458078503498644,-2.5369544450898887,0.06670235048827713
25.991037708272554,-25.274518810395566,-3.113646939935731,0.06098667213383973
26.990693004744575,-26.05247525934577,-3.7412991843710115,0.05476863498231136
27.9903483012166,-26.79283245062837,-4.412904064638609,0.04825393285273526
28.99000359768862,-27.497640296723485,-5.121737312789997,0.04040880413237738
29.98965889416064,-28.17027755407664,-5.861187200423714,0.03015341416302068
30.989314190632662,-28.816368406089985,-6.623963638835854,0.01917029736063527
31.988969487104683,-29.443523147101978,-7.402402461531527,0.011229000073512328
32.988624783576704,-30.058939200639536,-8.190163136278237,0.006529510278859522
33.988280080048725,-30.66743757377927,-8.983282377013808,0.003915863595320117
34.987935376520745,-31.27186821769002,-9.779506886545047,0.0036397082517867687
35.987590672992766,-31.873384320570757,-10.577935635593416,0.005637734143394979
36.98724596946479,-32.47125333056187,-11.379098438868938,0.009577992864572801
