distance_m,x_m,y_m,curvature_per_m,gnss_x_filtered_m,gnss_y_filtered_m,fused_x_m,fused_y_m,official_reference_x_m,official_reference_y_m,official_reference_station_m,gps_speed_mps,corrected_imu_y_mps2,smoothed_corrected_imu_y_mps2,raw_imu_curvature_per_m,imu_curvature_per_m,fused_geometric_curvature_per_m,solver_complementary_curvature_per_m,applied_curvature_gain,gnss_heading_rad,fused_heading_rad,low_frequency_position_correction_x_m,low_frequency_position_correction_y_m
0.0,-0.002361064467856007,0.0019878973872258718,-0.013549735152728351,-0.01574042978570671,0.013252649248172477,-0.002361064467856007,0.0019878973872258718,0.0,0.0,0.0,3.22240419086088,-0.519798486818213,-0.4315084817012139,-0.017861586320888512,-0.02543504004838252,-0.01651070989681015,-0.013549735152728351,1.4240079011704079,-2.7646018667474266,3.059971392463163,0.0,0.0
0.5,-0.5036007530617419,0.04299080757262312,-0.013538276082415722,-0.2542502251299785,-0.0501962151149179,-0.5036007530617419,0.04299080757262312,-0.5027891407891099,0.07291744188127677,0.5080884127771865,3.656495027662738,-0.6440262429543229,-0.37006814301717156,-0.017861586320888512,-0.02543504004838252,0.012905000751355155,-0.013538276082415722,1.4240079011704079,-2.8083625881225753,3.0595191211777464,-0.0092890974730494,-0.011260130485116147
1.0,-1.0049489199997788,0.08445908453999251,-0.01352720099121953,-0.4956967115649732,-0.11408732517097098,-1.0049489199997788,0.08445908453999251,-1.005371290238399,0.14520292720640962,1.01589111712037,4.091066504610394,-0.7422992464890573,-0.29894624706762674,-0.017861586320888512,-0.02543504004838252,0.027683687396285385,-0.01352720099121953,1.4240079011704079,-2.8491120670901893,3.0733921391321233,-0.018735227005236745,-0.02255906078700653
1.5,-1.5082443536124834,0.11161444759528638,-0.007056250668905492,-0.8143620289133306,-0.189607065659054,-1.5082443536124834,0.11161444759528638,-1.5099486511482172,0.1995642042045631,1.5233942340137188,4.538276175022061,-0.15810494562968425,-0.23482104651777552,-0.01140132109526962,-0.016235571323444786,0.01895678744860983,-0.007056250668905492,1.4240079011704079,-2.8868980513047373,3.0873965138102033,-0.028339804379342328,-0.03389532483250151
2.0,-2.0114945199297996,0.13906344273936935,-0.0036811640331036056,-1.1360835598078538,-0.26560552030715723,-2.0114945199297996,0.13906344273936935,-2.014246892457947,0.25343086268190407,2.0305699618004778,4.985190617215741,0.4054332249877036,-0.19972475852651442,-0.00803652623623978,-0.011444076858368726,0.010292910089599159,-0.0036811640331036056,1.4240079011704079,-2.9218032080076406,3.092515289238507,-0.03810422005654717,-0.04526743436377322
2.5,-2.5151979532682365,0.16107279092027527,-0.002913580531474825,-1.5393327017753682,-0.35437416305361147,-2.5151979532682365,0.16107279092027527,-2.518907765328501,0.30026909733549845,2.537400687701505,5.424229545813885,0.41794806977941273,-0.2141597650288124,-0.007278833106289404,-0.010365115854656853,0.007719895601165949,-0.002913580531474825,1.4240079011704079,-2.9539344515260786,3.097774012556364,-0.048029850784432775,-0.056673883402495503
3.0,-3.018741274865454,0.18322789667450426,-0.004067206952695286,-1.9454638847352943,-0.44404170890637734,-3.018741274865454,0.18322789667450426,-3.0232263674263518,0.34670523239005224,3.0438549467618365,5.8618870370360625,0.406810762737124,-0.290079884483542,-0.008441948993388414,-0.012021402067862674,0.005116521942937731,-0.004067206952695286,1.4240079011704079,-2.983413961670929,3.100299328472605,-0.05811805401869465,-0.06811314700391245
3.5,-3.5223710807075603,0.2026859730924714,-0.00652672813311286,-2.4296071695241013,-0.5580410810060714,-3.5223710807075603,0.2026859730924714,-3.5274838089834484,0.38933107617339696,3.54991158797225,6.262151294252228,-0.24455133021356457,-0.4278524585142266,-0.010910556932622772,-0.015536719278224398,0.006397310300245311,-0.00652672813311286,1.4240079011704079,-3.0103719509543363,3.102931656471976,-0.068370166640753,-0.07958368145821619
4.0,-4.025838928653641,0.222182706329326,-0.009556770808380917,-2.9167100612998342,-0.6724021005114886,-4.025838928653641,0.222182706329326,-4.03136479636186,0.4312224660287335,4.055535788978848,6.662012561441808,-0.8740924261044667,-0.6191028266329452,-0.013949283230429545,-0.019863889535795543,0.007787043072933847,-0.009556770808380917,1.4240079011704079,-3.034941064543011,3.1067469491987447,-0.07878750433932076,-0.09108392473331682
4.5,-4.529465138849106,0.23779308537587537,-0.012772988728779227,-3.4827634857248633,-0.7964104331362569,-4.529465138849106,0.23779308537587537,-4.535219526351488,0.467577790891883,4.560703278249327,7.051123658966368,-0.9215361866331184,-0.8538520387450516,-0.01717378245900619,-0.02445560191460657,0.01034490285620684,-0.012772988728779227,1.4240079011704079,-3.057252205266584,3.110778670727072,-0.0893713609884723,-0.10261229693826306
