time_s,mf4_time_s,gps_speed_mps,gps_latitude_deg,gps_longitude_deg,gps_distance_trip_m,accel_x_mps2,accel_y_mps2,accel_z_mps2,angular_rate_x_degps,angular_rate_y_degps,angular_rate_z_degps,motor_rpm,torque_command_nm,torque_feedback_nm,apps_percent,brake_pressure_psi,battery_power_kw,battery_voltage_v,battery_current_a,battery_soc_percent
0.0,32.788604,0.247,42.06872200001011,-84.2367510000101,nan,2.75,-0.375,9.000539005301693,0.25,0.25,-0.7510780106033879,0.0,0.0,-0.2713442622942965,0.6000000000000001,0.0,0.0,445.87243742828883,0.04,98.17
0.1980000000000004,32.986604,0.184,42.068722999979826,-84.23675199998992,nan,2.75,-0.375,9.124492424242423,0.25,0.25,-1.0,0.0,0.0,0.07986666666657699,0.6000000000000001,0.0,0.0,445.2779119602978,0.02,98.17
0.396250000000002,33.184854,0.191,42.068720999989864,-84.23675099998988,nan,2.75,-0.375,9.0,0.25,0.25,-0.9986688557716552,0.0,0.0,-0.28144262295015854,0.6000000000000001,0.0,0.0,444.7823361267954,0.01,98.17
0.5939499999999995,33.382554,0.08600000000000001,42.06872000001003,-84.2367500000201,nan,2.75,-0.375,9.0,0.25,0.25,-0.75,0.0,0.0,0.11787096774194969,0.6000000000000001,0.0,0.0,445.3035864950495,0.01935603960396043,98.17
0.7929999999999993,33.581604,0.034,42.06872099999998,-84.2367520000203,nan,2.75,-0.375,9.0,0.25,0.25,-0.7510205635948238,0.0,0.0,0.17660799999994728,0.6000000000000001,0.0,0.0,445.72361427863166,0.000665146256817371,98.17
0.9901499999999999,33.778754,0.047,42.06872100001009,-84.23675400001011,nan,2.75,-0.375,9.0,0.25,0.25,-0.998732323232321,0.0,0.0,0.146776470588181,0.6000000000000001,0.0,0.0,445.80652839603965,0.029866732673267518,98.17
1.1880000000000024,33.976604,0.063,42.06872200000001,-84.23675500002021,nan,2.750539141414144,-0.375,9.000539141414144,0.25,0.25,-0.75,0.0,0.0,-0.05621538461543103,0.6000000000000001,0.0,0.0,445.99000108695657,0.0,98.17
1.3859999999999957,34.174603999999995,0.046,42.06872200000001,-84.23675699998992,nan,2.8744608585858606,-0.375,9.124460858585861,0.25,0.25,-0.75,0.0,0.0,-0.04359999999981621,0.6000000000000001,0.0,0.0,445.85459932573133,0.02,98.17
1.584150000000001,34.372754,0.017,42.06872200000001,-84.23675599998988,nan,2.75,-0.375,9.00063383838384,0.25,0.25,-0.75,0.0,0.0,0.2730714285714132,0.6000000000000001,0.0,0.0,445.0701155731225,0.01,98.17
1.781950000000002,34.570554,0.037,42.068721999989904,-84.2367549999798,nan,2.75,-0.375,9.124492424242423,0.25,0.25,-0.75,0.0,0.0,0.1590666666660389,0.6000000000000001,0.0,0.0,445.8996985693143,0.028233366238894372,98.17
